"start time",	"request type",	"latency",	"response code"
1612918970288	, Post request	, 494	, 200
1612918970782	, Post request	, 105	, 200
1612918970887	, Post request	, 97	, 200
1612918970984	, Post request	, 92	, 200
1612918971076	, Post request	, 90	, 200
1612918971166	, Post request	, 87	, 200
1612918971253	, Post request	, 89	, 200
1612918971342	, Post request	, 92	, 200
1612918971434	, Post request	, 90	, 200
1612918971524	, Post request	, 86	, 200
1612918971610	, Post request	, 86	, 200
1612918971696	, Post request	, 87	, 200
1612918971783	, Post request	, 88	, 200
1612918971871	, Post request	, 84	, 200
1612918971955	, Post request	, 84	, 200
1612918972039	, Post request	, 90	, 200
1612918972129	, Post request	, 87	, 200
1612918972216	, Post request	, 89	, 200
1612918972305	, Post request	, 86	, 200
1612918972391	, Post request	, 89	, 200
1612918972480	, Post request	, 87	, 200
1612918972567	, Post request	, 91	, 200
1612918972658	, Post request	, 85	, 200
1612918972743	, Post request	, 87	, 200
1612918972830	, Post request	, 85	, 200
1612918972915	, Post request	, 87	, 200
1612918973002	, Post request	, 88	, 200
1612918973090	, Post request	, 88	, 200
1612918973178	, Post request	, 87	, 200
1612918973265	, Post request	, 89	, 200
1612918973354	, Post request	, 87	, 200
1612918973441	, Post request	, 82	, 200
1612918973523	, Post request	, 87	, 200
1612918973610	, Post request	, 87	, 200
1612918973697	, Post request	, 85	, 200
1612918973782	, Post request	, 87	, 200
1612918973869	, Post request	, 88	, 200
1612918973957	, Post request	, 85	, 200
1612918974042	, Post request	, 83	, 200
1612918974125	, Post request	, 85	, 200
1612918974210	, Post request	, 83	, 200
1612918974293	, Post request	, 81	, 200
1612918974374	, Post request	, 85	, 200
1612918974459	, Post request	, 84	, 200
1612918974543	, Post request	, 85	, 200
1612918974628	, Post request	, 88	, 200
1612918974716	, Post request	, 88	, 200
1612918974804	, Post request	, 88	, 200
1612918974892	, Post request	, 84	, 200
1612918974976	, Post request	, 92	, 200
1612918975068	, Post request	, 88	, 200
1612918975156	, Post request	, 88	, 200
1612918975244	, Post request	, 87	, 200
1612918975331	, Post request	, 90	, 200
1612918975421	, Post request	, 88	, 200
1612918975509	, Post request	, 82	, 200
1612918975591	, Post request	, 87	, 200
1612918975678	, Post request	, 89	, 200
1612918975767	, Post request	, 87	, 200
1612918975854	, Post request	, 87	, 200
1612918970287	, Post request	, 482	, 200
1612918970782	, Post request	, 95	, 200
1612918970877	, Post request	, 94	, 200
1612918970971	, Post request	, 86	, 200
1612918971057	, Post request	, 85	, 200
1612918971142	, Post request	, 85	, 200
1612918971227	, Post request	, 85	, 200
1612918971312	, Post request	, 81	, 200
1612918971393	, Post request	, 82	, 200
1612918971475	, Post request	, 86	, 200
1612918971561	, Post request	, 85	, 200
1612918971646	, Post request	, 84	, 200
1612918971730	, Post request	, 85	, 200
1612918971815	, Post request	, 87	, 200
1612918971902	, Post request	, 84	, 200
1612918971986	, Post request	, 88	, 200
1612918972074	, Post request	, 86	, 200
1612918972160	, Post request	, 87	, 200
1612918972247	, Post request	, 85	, 200
1612918972332	, Post request	, 88	, 200
1612918972420	, Post request	, 96	, 200
1612918972516	, Post request	, 85	, 200
1612918972601	, Post request	, 87	, 200
1612918972688	, Post request	, 85	, 200
1612918972773	, Post request	, 90	, 200
1612918972863	, Post request	, 85	, 200
1612918972948	, Post request	, 88	, 200
1612918973036	, Post request	, 85	, 200
1612918973121	, Post request	, 89	, 200
1612918973210	, Post request	, 85	, 200
1612918973295	, Post request	, 85	, 200
1612918973380	, Post request	, 84	, 200
